ID;GROUP;PARTNER
001;14;
005;14;
015;32;
017;33;
019;34;
021;35;
031;36;1013
033;51;
035;37;
037;52;
041;35;
043;83;
047;36;1013
053;36;
061;11;
065;12;
067;12;
071;49;
073;24;
075;25;
079;16;1005
087;29;1008
089;20;1006
091;11;
093;30;1009
095;11;
097;30;1009
099;17;1010
101;17;1010
103;17;
105;16;
107;17;
111;16;1005
113;16;
117;4;
121;1;
123;2;
129;77;
137;61;
143;67;
147;64;
149;70;
151;71;
153;71;
157;6;
161;8;
165;9;
169;39;
181;39;1015
183;39;1015
185;39;
191;39;
195;41;
201;40;1011
203;43;
209;41;
221;48;1012
223;48;1012
225;48;1012
251;82;
253;39;
279;3;1003
287;3;1003
289;3;1001
291;9;
293;19;
295;3;1003
297;3;1003
299;3;1003
303;71;
305;39;
319;50;
329;36;1013
333;84;
741;14;1007
777;2;1017
109A;17;
109B;61;
115A;30;
115B;62;
119A;63;
11B;31;
125A;1;
125B;3;1003
125C;80;1000
127A;3;1003
127C;3;1001
127D;3;1001
127E;80;
129A;5;
131A;3;
131B;75;
133A;15;
133B;64;
139A;65;
139B;17;
143A;68;
143B;69;
145B;64;
155B;80;1000
157A;72;
157B;7;
163A;3;
163B;2;1017
163C;2;1017
167A;7;
171A;57;1014
173B;58;
173C;59;
177B;57;1014
187A;3;1003
187B;3;1003
193A;40;1011
193B;41;
195A;10;
197B;42;
207A;44;
215A;46;
215B;47;
39A;36;1013
39B;35;
444A;85;1018
444B;85;1018
444C;87;1020
444D;87;1020
444E;89;1021
444F;89;1021
444G;90;1022
444H;90;1022
444J;90;1023
444K;90;1023
444L;91;1024
444M;91;1024
444N;91;1024
444P;91;1025
444Q;91;1025
444R;91;1025
444S;86;1019
444T;86;1019
444U;89;
444W;90;
444X;91;
444Y;85;
55A;20;1006
55B;55;
57A;25;
57B;22;
63B;43;
77A;20;
77B;16;
81A;28;
81B;29;1008
9A;14;1007
9B;38;
